employee_id,department,tenure_years,salary,satisfaction_score,performance_rating
1001,Engineering,2.1,95000,7.2,3
1002,Engineering,3.4,102000,6.8,4
1003,Engineering,0.8,88000,8.1,3
1004,Engineering,5.2,118000,5.5,4
1005,Engineering,1.5,91000,7.9,3
1006,Engineering,7.8,135000,4.2,5
1007,Engineering,4.1,110000,6.1,4
1008,Engineering,0.3,85000,8.5,2
1009,Engineering,6.5,142000,5.0,4
1010,Engineering,2.9,98000,7.0,3
1011,Engineering,9.2,175000,3.8,5
1012,Engineering,11.5,210000,4.1,5
1013,Sales,1.2,62000,6.5,3
1014,Sales,4.7,78000,5.8,4
1015,Sales,0.6,58000,7.8,2
1016,Sales,3.1,71000,6.2,3
1017,Sales,8.3,105000,4.0,5
1018,Sales,2.5,67000,7.1,3
1019,Sales,5.9,88000,5.3,4
1020,Sales,1.8,63000,7.5,3
1021,Sales,0.9,59000,8.0,2
1022,Sales,3.8,74000,6.0,4
1023,Marketing,2.3,72000,7.4,3
1024,Marketing,1.1,65000,7.8,3
1025,Marketing,4.5,85000,6.0,4
1026,Marketing,6.2,98000,5.1,4
1027,Marketing,0.7,62000,8.3,2
1028,Marketing,3.6,79000,6.5,3
1029,Marketing,5.0,91000,5.7,4
1030,Marketing,1.9,68000,7.6,3
1031,Marketing,2.8,75000,6.9,3
1032,Marketing,7.1,110000,4.5,5
1033,HR,1.4,60000,7.6,3
1034,HR,3.2,71000,6.4,3
1035,HR,0.5,55000,8.2,2
1036,HR,5.8,88000,5.2,4
1037,HR,2.7,66000,7.0,3
1038,HR,4.3,78000,5.9,4
1039,HR,1.0,58000,7.9,2
1040,HR,6.9,95000,4.8,5
1041,HR,2.1,64000,7.3,3
1042,HR,3.9,74000,6.1,4
1043,Finance,2.6,82000,6.8,3
1044,Finance,4.8,98000,5.6,4
1045,Finance,1.3,75000,7.5,3
1046,Finance,7.5,128000,4.3,5
1047,Finance,3.5,89000,6.2,4
1048,Finance,0.9,72000,8.0,2
1049,Finance,5.4,108000,5.1,4
1050,Finance,2.0,79000,7.2,3
1051,Finance,6.1,118000,4.7,4
1052,Finance,1.7,76000,7.6,3
1053,Engineering,10.3,195000,3.5,5
1054,Finance,8.9,158000,4.0,5
1055,Engineering,12.1,225000,3.2,5
